‎[06.08.24, 08:42:27] Emmanuel: ‎audio omitted
[03.11.24, 12:18:28] Phil: Dann muss man es benennen und man gibt der App ganz natürlich einen Namen
‎[03.11.24, 12:29:12] Emmanuel: ‎audio omitted
[03.11.24, 12:31:07] Phil: Ich glaub ich packs gleich nochmal in die Uni
[03.11.24, 12:31:26] Phil: Ja schon Orth ist nicht schlecht
[03.11.24, 12:31:28] Emmanuel: Mach mal Bro
‎[03.11.24, 12:32:03] Emmanuel: ‎audio omitted
[03.11.24, 12:36:01] Phil: True
[03.11.24, 12:36:13] Phil: aber brauch grad keine Pause
[03.11.24, 12:36:22] Phil: Hab Freitag und gestern Pause gemacht
[03.11.24, 12:36:37] Phil: Heute bin ich im Zen
[06.11.24, 17:15:53] Phil: Was geht bri
‎[06.11.24, 17:17:42] Emmanuel: ‎image omitted
[06.11.24, 17:17:47] Emmanuel: Testung du?
[06.11.24, 17:17:55] Phil: haha chillig
‎[06.11.24, 17:18:13] Phil: ‎image omitted
[06.11.24, 17:18:33] Phil: bock nochmal chillig in ein Cafe zu gehen?
[06.11.24, 17:18:43] Emmanuel: Am Sonntag?
[06.11.24, 17:18:54] Phil: da bin ich in Kempten
[06.11.24, 17:19:44] Emmanuel: Ahh wann meinst du
[06.11.24, 17:19:52] Phil: heute haha
[06.11.24, 17:23:07] Emmanuel: Ahh bro heute bin ich raus
‎[06.11.24, 17:23:17] Emmanuel: ‎audio omitted
[06.11.24, 17:24:52] Phil: hä einfach relaxen bro
[06.11.24, 17:25:04] Phil: aber egal next time ;)
[06.11.24, 17:52:29] Emmanuel: Achso dachte du wolltest coden
[06.11.24, 18:52:18] Phil: ja true 😂
[07.11.24, 10:09:54] Phil: Broooo
[07.11.24, 10:10:13] Phil: Happy happy happy happy happy Birthday mein Lieber 🥳🫶🏼
[07.11.24, 10:12:34] Phil: Ich wünsch dir nur das Beste und mögen all deine Wünsche in Erfüllung gehen 🍀
[07.11.24, 10:13:09] Phil: Ich hoffe wir sehen uns heute Abend :)
[07.11.24, 16:09:16] Emmanuel: Call mal Bro ❤️
[07.11.24, 16:09:20] Emmanuel: Danke dir!!!
‎[07.11.24, 17:11:06] Emmanuel: ‎audio omitted
[07.11.24, 19:39:00] Phil: Yo wie heißt nochmal die eine beste Freundin von dir?
[07.11.24, 20:22:42] Phil: Kira oder?
‎[07.11.24, 21:42:21] Emmanuel: ‎audio omitted
[07.11.24, 21:42:37] Phil: lol
[07.11.24, 21:42:42] Phil: sorry komme etwas später
‎[07.11.24, 21:42:49] Emmanuel: ‎audio omitted
[07.11.24, 21:45:43] Phil: 😭😭
[07.11.24, 22:25:12] Phil: Junge gleich da
[07.11.24, 22:25:18] Phil: wo seid ihr?
[07.11.24, 22:45:24] Emmanuel: ‎This message can't be displayed here. Please open ‎WhatsApp on your phone to view the message.
[07.11.24, 22:46:04] Emmanuel: ‎This message can't be displayed here. Please open ‎WhatsApp on your phone to view the message.
[08.11.24, 16:39:02] Emmanuel: Bro bin auf dem Weg he
[08.11.24, 16:39:04] Emmanuel: Ge
[08.11.24, 16:59:50] Emmanuel: Ich bin schon da
[08.11.24, 16:59:55] Emmanuel: Call mal Digga
‎[08.11.24, 18:24:04] Phil: ‎image omitted
‎[08.11.24, 18:24:04] Phil: ‎image omitted
‎[08.11.24, 18:24:04] Phil: ‎image omitted
‎[08.11.24, 18:24:04] Phil: ‎image omitted
[09.11.24, 17:36:05] Phil: yo alles gut
[09.11.24, 17:36:08] Phil: wo bist?
[12.11.24, 13:29:49] Phil: yo bist du Uni?
‎[12.11.24, 14:24:44] Emmanuel: ‎audio omitted
[12.11.24, 15:00:32] Phil: schade
[12.11.24, 15:21:56] Emmanuel: ❤️
‎[13.11.24, 15:41:36] Phil: ‎image omitted
‎[14.11.24, 08:05:09] Emmanuel: ‎image omitted
[14.11.24, 09:59:58] Emmanuel: Yaay das event ist live:
https://www.eventbrite.com/e/soundscapes-sunday-soundbath-no1-tickets-1082697700969
[14.11.24, 10:00:06] Emmanuel: Hast du Lust mitzukommen
[14.11.24, 14:06:23] Phil: ja man
[14.11.24, 17:26:03] Phil: jo hast du rausgefundenwiemanautomatedtestingabgibt?
[14.11.24, 17:26:21] Emmanuel: Nop
[14.11.24, 17:26:23] Emmanuel: Du
[14.11.24, 17:27:28] Phil: lol
[14.11.24, 17:27:42] Phil: lol ne
[14.11.24, 17:27:53] Emmanuel: Ist nicht App.code
[14.11.24, 17:27:59] Emmanuel: Schreib mal in der Gruppe
[14.11.24, 17:28:25] Phil: hab ich
[14.11.24, 17:28:34] Phil: vielleicht hat ers vercheckt lol
[14.11.24, 17:28:39] Emmanuel: Safe
[14.11.24, 17:29:06] Phil: und jeder hat zu viel schiss zu fragen weil man dann so dasteht als hätte man nicht aufgepasst hahaha
[14.11.24, 17:46:13] Phil: ja chillig nur oral
[15.11.24, 15:17:50] Phil: bin an der Rolltreppe
[16.11.24, 13:03:08] Phil: yo was geht
[16.11.24, 13:03:18] Phil: Bock auf Kirmes später?
[16.11.24, 13:05:13] Emmanuel: Hey ja man komm zu mir
[16.11.24, 13:05:25] Phil: Chillig
[16.11.24, 13:05:30] Phil: so um 3
[16.11.24, 13:05:33] Phil: passt?
[16.11.24, 13:05:40] Emmanuel: Ja
[16.11.24, 13:06:23] Phil: bis später
[16.11.24, 13:06:33] Emmanuel: Bis später 🙏
[16.11.24, 14:47:52] Emmanuel: Bin im Wald
[16.11.24, 16:03:23] Phil: Wo treffen wir uns?
[16.11.24, 16:03:27] Phil: habs bald geschafft
[16.11.24, 16:14:11] Emmanuel: Eichbushallee 55, 12437
[16.11.24, 17:58:29] Emmanuel: https://peaceyoga.de
[17.11.24, 00:30:41] Phil: yo für wann soll ich ticket kaufen?
‎[17.11.24, 00:34:57] Emmanuel: ‎audio omitted
[17.11.24, 14:19:36] Phil: Klingt vernünftig
[17.11.24, 14:19:44] Phil: Glaube Yoga würde mir eh echt gut tun
[17.11.24, 14:22:27] Emmanuel: Geil
[17.11.24, 14:24:12] Emmanuel: Kostet 33 Euro bei urban Sport
[17.11.24, 14:24:16] Emmanuel: https://urbansportsclub.com/de/prices/berlin?monthly=?utm_source=google&utm_medium=cpc&utm_campaign=DE-BER-B2C-GA_BRAND-PRS-JUNE_2024&wpsrc=GoogleAdWords&wpcid=21333844719&wpkwn=urban%20sports&wpkmatch=b&wpcrid=714944908308&wpscid=163844808438&utm_source=google&utm_medium=cpc&utm_campaign=DE-BER-B2C-GA-PRS-S-BRAND-EXACT-TFA-JAN-2022&utm_content=163844808438&utm_term=urban%20sports&hsa_acc=2427939624&hsa_cam=21333844719&hsa_grp=163844808438&hsa_ad=714944908308&hsa_src=g&hsa_tgt=kwd-305607555772&hsa_kw=urban%20sports&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gbraid=0AAAAADsuxFWyh1Rnf3fCQeUtQIbFLn731
[17.11.24, 14:24:26] Phil: ah chillig
[17.11.24, 14:24:30] Phil: hol ich mir gleich
[17.11.24, 14:24:43] Emmanuel: Geil
[17.11.24, 14:24:46] Emmanuel: Sag Bescheid
[17.11.24, 14:24:57] Phil: 👍🏼
[18.11.24, 13:53:27] Phil: Kulturabend code heute?
[18.11.24, 13:53:33] Phil: free food und spaß
[18.11.24, 13:54:09] Emmanuel: Bist du da
[18.11.24, 13:55:47] Phil: jo ich geh
[18.11.24, 13:55:48] Phil: 19 uhr
[18.11.24, 13:55:56] Phil: vorallem die veranstalter freuen sich auch
[18.11.24, 13:56:48] Emmanuel: Ok
‎[18.11.24, 16:04:33] Phil: ‎image omitted
[18.11.24, 16:05:16] Emmanuel: Bro ich because out
[18.11.24, 16:05:32] Phil: lol ok
‎[18.11.24, 16:05:46] Emmanuel: ‎audio omitted
[18.11.24, 16:06:35] Phil: ok erhol dich bro
‎[18.11.24, 16:06:49] Emmanuel: ‎audio omitted
[18.11.24, 16:13:43] Phil: war auch harte Abgaben bro
[18.11.24, 16:13:46] Phil: erhol dich
[20.11.24, 10:17:08] Phil: Jo Flo muss Freitag umziehen
[20.11.24, 10:17:12] Phil: Hilfst du mit?
[20.11.24, 10:30:15] Emmanuel: Bro bin Freitag bei meiner Firmen Feier in Leipzig komm erst am Abend wieder
[20.11.24, 10:59:30] Phil: ah ok schade
[20.11.24, 10:59:37] Phil: aber viel Spaß in Leipzig
[20.11.24, 12:39:22] Emmanuel: Danke dir
[20.11.24, 12:54:56] Phil: jo kannst du mir die Bilder/Videos schicken die du beim Oldhouse gemacht hast?
‎[20.11.24, 13:14:43] Emmanuel: ‎image omitted
‎[20.11.24, 13:14:45] Emmanuel: ‎image omitted
‎[20.11.24, 13:14:47] Emmanuel: ‎video omitted
‎[20.11.24, 13:14:49] Emmanuel: ‎video omitted
‎[20.11.24, 13:14:53] Emmanuel: ‎video omitted
‎[20.11.24, 13:14:54] Emmanuel: ‎image omitted
‎[20.11.24, 13:14:54] Emmanuel: ‎image omitted
‎[20.11.24, 13:14:54] Emmanuel: ‎image omitted
‎[20.11.24, 13:14:54] Emmanuel: ‎image omitted
‎[20.11.24, 13:14:56] Emmanuel: ‎video omitted
‎[20.11.24, 13:14:57] Emmanuel: ‎video omitted
‎[20.11.24, 13:14:58] Emmanuel: ‎video omitted
‎[20.11.24, 13:15:01] Emmanuel: ‎video omitted
‎[20.11.24, 13:15:01] Emmanuel: ‎image omitted
‎[20.11.24, 13:15:01] Emmanuel: ‎image omitted
‎[20.11.24, 13:15:01] Emmanuel: ‎image omitted
‎[20.11.24, 13:15:01] Emmanuel: ‎image omitted
[21.11.24, 11:00:31] Phil: alter mega bilder
[21.11.24, 11:01:26] Phil: hab die mal in die Gruppe geschickt
[22.11.24, 00:10:09] Emmanuel: Nice :)
[23.11.24, 21:51:45] Emmanuel: ‎Waiting for this message. This may take a while.
[25.11.24, 11:07:45] Emmanuel: ‎Missed voice call. ‎Click to call back
‎[25.11.24, 12:57:43] Phil: ‎image omitted
[25.11.24, 12:57:58] Phil: Alter hätte nie gedacht sowas mal geil finden zu können 😂
‎[25.11.24, 13:04:19] Phil: ‎image omitted
[25.11.24, 13:04:38] Phil: würd ich machen wenn ich da wäre 😂😂
‎[25.11.24, 13:05:10] Emmanuel: ‎audio omitted
[25.11.24, 13:05:30] Phil: ne leider nicht
[25.11.24, 13:05:44] Phil: find ich trotzdem ne lustige Vorstellung
‎[25.11.24, 14:38:03] Emmanuel: ‎image omitted
[25.11.24, 14:38:52] Phil: chillig
[25.11.24, 14:38:56] Phil: enjoy the day
[26.11.24, 17:45:01] Phil: Bro
[26.11.24, 17:45:05] Phil: was geht bei dir Freitag?
‎[26.11.24, 18:25:19] Phil: ‎image omitted
[26.11.24, 19:02:10] Emmanuel: Bin da bei nem Museum und mit ner Freundin aber kann schauen das wir uns alle meeten
[26.11.24, 19:02:45] Phil: ah ok der Vince kommt mich besuchen
[26.11.24, 19:02:55] Phil: überleg noch was ich mit ihm machen kann
[26.11.24, 19:16:43] Emmanuel: Wer war das nochmal
‎[26.11.24, 19:50:54] Phil: ‎video omitted
[26.11.24, 22:01:40] Emmanuel: Ahhh
[26.11.24, 22:01:41] Emmanuel: Ja Safe
[28.11.24, 14:35:47] Emmanuel: ‎Missed voice call. ‎Click to call back
[28.11.24, 15:04:57] Phil: Mein Empfehlungslink: https://freundewerben.dkb.de/PCyggkQC?empfehlungsweg=wa
[28.11.24, 15:05:20] Phil: ist bisschen versteckt
https://maps.app.goo.gl/Cq7y4EPrXEkZ8CpNA?g_st=iw
[28.11.24, 15:08:15] Emmanuel: Ok
[28.11.24, 17:36:18] Phil: 8:30
[28.11.24, 18:07:23] Emmanuel: Ok
[29.11.24, 14:21:44] Phil: bro ich mach heute glaub ich nichts
[29.11.24, 14:21:58] Phil: aber morgen ist thanksgiving bei Dario
[29.11.24, 14:22:03] Phil: kommst du vorbei?
[29.11.24, 14:22:15] Emmanuel: Ohh sehr gerne
[29.11.24, 14:22:33] Emmanuel: 🥰
[29.11.24, 14:52:36] Phil: Nice
[29.11.24, 14:53:05] Phil: Weiß nichts genaues dieses Jahr nicht viel geplant aber komm einfach mal Abends vorbei :)
[29.11.24, 14:53:12] Phil: kannst ja auch wen mitnehmen
‎[29.11.24, 15:11:34] Emmanuel: ‎audio omitted
[29.11.24, 15:24:55] Phil: yo digga frag Aram
[30.11.24, 16:19:32] Phil: Mierendorffstr 12
[30.11.24, 16:19:39] Phil: 10589 Berlin
[30.11.24, 16:20:49] Phil: aber ist noch bisschen früh oder?
[30.11.24, 16:21:02] Phil: Hätte gedacht dass ich da frühestens 18 Uhr ankomme
[30.11.24, 16:27:36] Emmanuel: Ja alles gut Bro
[30.11.24, 16:27:53] Emmanuel: Lass erst chillen etwas
[30.11.24, 16:28:22] Phil: Gute Idee
[30.11.24, 16:41:29] Phil: Jo bro
[30.11.24, 16:41:48] Phil: Dario wollte das essen eher im kleinen Kreis machen
[30.11.24, 16:41:59] Phil: ist es ok wenn ihr dann später für die Drinks dazukommt?
[30.11.24, 16:53:17] Emmanuel: Film wir sind schon unterwegs
[01.12.24, 08:23:25] Phil: Yo hilfe bitte bro
I‘d take a bus from S Westend. Since you’re asking, I wanted to clarify if you by any chance mean this as a date ? I‘m asking since I‘ve experienced this before and it ended up being awkward 😅
[01.12.24, 09:17:24] Emmanuel: Was
[01.12.24, 09:18:35] Phil: Hat mir Diana geschrieben
[01.12.24, 09:19:07] Phil: Als ich geschrieben hab dass ich sie abholen kann
[01.12.24, 09:19:31] Phil: Actually yes, I do like you and I think a date could be nice but I completely understand if you want to keep things friendly :)
[01.12.24, 09:19:39] Phil: Hab jetzt das geschrieben
[01.12.24, 09:25:24] Emmanuel: Ja passt
[01.12.24, 09:25:45] Phil: Danke
[01.12.24, 10:17:32] Phil: Bro kannst du telln?
[01.12.24, 10:17:44] Phil: Mach mir wieder mega den Kopf…
‎[03.12.24, 11:29:00] Emmanuel: ‎audio omitted
[03.12.24, 11:32:11] Phil: noch nichts bekommen
[03.12.24, 11:32:24] Phil: vielleicht musst du erst Geld drauf laden
‎[03.12.24, 13:51:23] Emmanuel: ‎audio omitted
[04.12.24, 14:37:43] Emmanuel: ‎Missed voice call. ‎Click to call back
[12.12.24, 16:40:18] Phil: Bro lass doch lieber morgen machen
[12.12.24, 16:40:30] Phil: Muss noch die Präsi fertig mschen
[12.12.24, 16:41:05] Emmanuel: Alles gut Bro
[14.12.24, 22:29:05] Phil: jo wir sind 6
[14.12.24, 22:29:14] Phil: will kein Arschloch move machen
[14.12.24, 22:29:38] Phil: haben auch 2 Mädels
[14.12.24, 22:32:55] Emmanuel: Komm Rathaus Neukölln
[14.12.24, 22:32:57] Emmanuel: Und call me
[15.12.24, 01:10:48] Emmanuel: Flughafen Straße 17
[15.12.24, 13:33:02] Phil: jo was geht alles gut?
[15.12.24, 13:33:11] Emmanuel: Hey alles gut und dir?
[15.12.24, 13:33:24] Phil: nice same
[15.12.24, 13:33:56] Phil: ‎You deleted this message.
[15.12.24, 13:40:53] Emmanuel: Was hast gelöscht
[15.12.24, 13:41:10] Phil: Was du heute machst
[15.12.24, 13:41:43] Emmanuel: Achso home und dann schauen du?
[15.12.24, 13:41:59] Phil: same
[15.12.24, 13:42:10] Phil: hätte bock auf Asia Buffet heute Abend
[15.12.24, 13:58:52] Emmanuel: Puhh Film wenn nicht so teuer wird bin ich gerne dabei
[15.12.24, 14:05:01] Phil: fair
[15.12.24, 14:05:10] Phil: ich schau mal nach was billigem
[15.12.24, 14:14:45] Emmanuel: Ok oder lass zu einem Café
[15.12.24, 14:15:22] Phil: Klingt auch gut
[15.12.24, 14:15:33] Phil: Wieder nach Schöneberg?
[15.12.24, 14:22:20] Emmanuel: Ne lass Lotti
[15.12.24, 14:22:39] Emmanuel: Kotti so 18 Uhr
[15.12.24, 14:23:10] Phil: Ok chillig
[15.12.24, 14:23:13] Phil: bis später
[15.12.24, 14:23:23] Emmanuel: Ok bis später :)
[15.12.24, 17:21:04] Phil: nimmst du laptop mit?
[15.12.24, 17:33:12] Emmanuel: Nop
[15.12.24, 17:34:27] Phil: ok
[15.12.24, 17:34:42] Phil: bin 10 nach da
[15.12.24, 17:45:44] Emmanuel: ‎Location: https://maps.google.com/?q=52.494495,13.425071
[15.12.24, 18:09:51] Phil: jo wo bist
[15.12.24, 18:09:55] Phil: find dich nicht
[15.12.24, 23:25:07] Phil: Digga das auch geil 
ID_01 Composition | CODE Intranet https://app.code.berlin/module/ID_01?shortCode=ID_01_v2&table=description
[15.12.24, 23:25:43] Phil: The students learn and practice the use of color, contrast, shapes, and proportions according to the gestalt principles and drawing sessions. Photography is used to further apply and practice. Students learn the fundamentals of photography, i.e., image composition, lighting and flash, aperture and exposure, the basic chemical process of b/w photography, basics of digital photography. Students will be using the medium of photography as an expressive and experimental tool.
[15.12.24, 23:25:56] Phil: Understand how to use rules of aesthetics in your design practice
Understand how to create colors palettes
Understand and apply the gestalt principles
Understand the composition of visual design work
Understand the use of light, shadows, and contrast
Understand how to focus on certain elements with a visual language
Create sets of visual work in diverse areas to apply the points mentioned above
Critically reflect on aesthetics in a constructive way
Present visual work in a professional way
[15.12.24, 23:27:11] Phil: bisschen aus der Blase rauskommen
[16.12.24, 15:34:23] Phil: Bro hätte schon echt bock auf deine App
[16.12.24, 15:34:32] Phil: wär echt perfekt für Hauspartys
[16.12.24, 15:34:55] Phil: am besten noch mit geilem Geldsystem damit alle mitzahlen
[16.12.24, 15:35:03] Phil: und nicht immer nur paar vorstrecken müssen ‎<This message was edited>
[16.12.24, 15:42:41] Phil: Ich hab zum Beispiel bock Hüttenparties zu organisieren aber ne Hütte zu mieten und die ganze Verpflegung zu kaufen ist end teuer und wenn wenig kommen sollten bleibt man auf den Kosten sitzen
[16.12.24, 15:42:58] Phil: auch wenn was kaputt geht
[17.12.24, 13:43:53] Emmanuel: Hey sry für die späte Rückmeldung :) hoffe es geht dir gut Bro 
Ja die Idee mit dem Geld ist sehr nice!!! Habt ihr gerade so ein Problem bei euch
[17.12.24, 13:49:39] Phil: Haha alles gut
[17.12.24, 13:50:24] Phil: ne aber spätestens im Sommer wenn ich in den Bergen ne Party veranstalte hehe
[17.12.24, 14:49:37] Emmanuel: Süß
[27.12.24, 20:25:24] Phil: lol
‎[27.12.24, 20:25:52] Emmanuel: ‎audio omitted
‎[27.12.24, 20:27:18] Phil: ‎audio omitted
‎[27.12.24, 20:29:12] Emmanuel: ‎audio omitted
[04.01.25, 22:19:14] Phil: Gib dir mal, das wäre ne geile Experience für deine App
https://youtu.be/CoCf-sLXxbo
[04.01.25, 22:47:55] Emmanuel: Ok interessant Check ich ab wenn ich wieder in Deutschland bin
[05.01.25, 15:54:57] Phil: Wann biste wieder da?
[05.01.25, 16:08:47] Emmanuel: Morgen und du
[05.01.25, 16:08:57] Phil: chillig
[05.01.25, 16:09:00] Phil: 18.
[05.01.25, 16:09:24] Emmanuel: Ahh ok entspannt enjoy
[05.01.25, 16:09:34] Phil: Same to you 🫶🏼
[09.01.25, 15:11:22] Phil: tell grad mit nem Kumpel
[09.01.25, 15:11:26] Phil: ruf gleich an
‎[09.01.25, 15:35:13] Phil: ‎image omitted
‎[09.01.25, 15:35:34] Phil: ‎video omitted
‎[09.01.25, 15:36:21] Phil: ‎image omitted
[09.01.25, 15:45:46] Phil: der huer
‎[09.01.25, 15:49:33] Phil: ‎image omitted
[09.01.25, 15:49:53] Emmanuel: 🤣🤣🤣🤣
[09.01.25, 15:49:59] Phil: 😂😂
[09.01.25, 15:50:01] Phil: Good times
[09.01.25, 15:50:33] Emmanuel: Ja man 😂
[13.01.25, 11:28:08] Phil: Jo bro
[13.01.25, 11:28:15] Phil: Gehst du wieder Uni?
[13.01.25, 11:46:14] Phil: Könnte ich dir den Schlüssel vom Kühlschrank schicken damit du den Im Lehrerzimmer ablegst?
[13.01.25, 12:09:02] Emmanuel: Ja
[13.01.25, 12:09:10] Emmanuel: Ok
[13.01.25, 12:09:24] Phil: Danke Bro
[13.01.25, 12:09:32] Phil: Wo kann ich die hinschicken?
[13.01.25, 12:15:32] Emmanuel: Eichbuschallee 55, 12437 
Apartment 0415
Emmanuel Neuenhaus 

Mach mit sendungsrückverfolgung
[13.01.25, 23:19:36] Phil: Komm doch schon am Donnerstag
[16.01.25, 00:55:36] Emmanuel: ‎Voice call. ‎Answered on other device
[17.01.25, 16:43:36] Phil: yoyo was geht
[17.01.25, 16:43:39] Phil: alles gut?
‎[17.01.25, 18:22:29] Emmanuel: ‎audio omitted
[17.01.25, 18:24:52] Phil: Nicht viel bin am Coden
[17.01.25, 18:24:56] Phil: bei dir?
[18.01.25, 10:28:33] Phil: Was geht
[18.01.25, 10:28:46] Phil: bock im Treppi spazieren zu gehn?
[18.01.25, 12:19:53] Phil: heute Abend ist noch die Eröffnung von Darios Bar
‎[18.01.25, 12:19:53] Phil: ‎image omitted
[18.01.25, 13:43:38] Phil: ist geschickt
‎[18.01.25, 13:43:51] Emmanuel: ‎audio omitted
[18.01.25, 13:44:16] Phil: kein stress
[18.01.25, 13:44:19] Phil: bis später
[18.01.25, 13:44:34] Emmanuel: Bis später🙏
[18.01.25, 14:21:28] Phil: Aber kannst du bitte auf Konto wieder schicken?
[18.01.25, 14:21:37] Phil: Brauchs verfügbar
[18.01.25, 14:56:00] Emmanuel: Ok
[18.01.25, 14:56:12] Emmanuel: Schick ich dir nächste Woche
[18.01.25, 15:13:22] Phil: Wann kommst du?
[18.01.25, 15:13:22] Phil: bin der erste lol
[19.01.25, 20:02:38] Phil: Web 4.0, oft als die nächste Entwicklungsstufe des Internets betrachtet, ist ein Konzept, das sich noch in der Entwicklung befindet und daher nicht so klar definiert ist wie die vorherigen Phasen. Es baut auf den Technologien und Ideen von Web 3.0 auf und erweitert diese. Hier sind einige der Merkmale und Visionen, die mit Web 4.0 in Verbindung gebracht werden:
	1.	Intelligente Interaktion: Web 4.0 wird oft als das "Symbiotische Web" bezeichnet, bei dem Menschen und Maschinen nahtlos zusammenarbeiten. Es wird erwartet, dass das Internet in der Lage sein wird, menschliche Gedanken und Bedürfnisse besser zu verstehen und darauf zu reagieren.
	2.	Allgegenwärtige Konnektivität: Mit der weiteren Verbreitung des Internets der Dinge (IoT) wird erwartet, dass Web 4.0 eine noch stärkere Vernetzung von Geräten und Diensten bietet, die nahtlos miteinander kommunizieren.
	3.	Erweiterte Realität: Die Integration von Augmented Reality (AR) und Virtual Reality (VR) in das tägliche Leben könnte ein wesentlicher Bestandteil von Web 4.0 sein, wodurch immersive Erlebnisse in Echtzeit ermöglicht werden.
	4.	Künstliche Intelligenz und Automatisierung: KI wird eine noch größere Rolle spielen, indem sie nicht nur Daten analysiert, sondern auch Entscheidungen trifft und autonome Systeme steuert, die in Echtzeit auf Veränderungen reagieren können.
	5.	Dezentralisierte Systeme: Aufbauend auf den Prinzipien von Blockchain und dezentralisierten Netzwerken könnte Web 4.0 noch mehr auf Dezentralisierung setzen, um mehr Kontrolle und Sicherheit für die Nutzer zu gewährleisten.
	6.	Personalisierung und Kontextbewusstsein: Web 4.0 wird voraussichtlich noch stärker personalisierte Erfahrungen bieten, indem es den Kontext und die Präferenzen der Nutzer in Echtzeit berücksichtigt.
Insgesamt stellt Web 4.0 eine Vision eines Internets dar, das noch tiefer in unser tägliches Leben integriert ist und durch intelligente, vernetzte Systeme eine nahtlose Interaktion zwischen Mensch und Technik ermöglicht. Da es sich um ein zukünftiges Konzept handelt, können sich die genauen Merkmale und Technologien, die Web 4.0 definieren werden, im Laufe der Zeit weiterentwickeln.
[19.01.25, 22:32:36] Phil: Hör mal in diese Playlist rein: Générique - Bande originale du film "Ascenseur pour l'échafaud" Radio https://open.spotify.com/playlist/37i9dQZF1E8D3EtH3WHvSK?si=fXMpEaJ1S8uJDPAuLyx15w&pi=e-jMAj6EpjRDas
